2016-4-17-16h23m18s
Name,Ticker,Bid,Ask,Prev Close,Open,Volume,Avg Vol (3 month),Avg Vol (10 day),Forward Annual Dividend Rate,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,5 Year Average Dividend Yield,Payout Ratio,Dividend Date,Ex-Dividend Date,Beta,52-Week Change,S&P500 52-Week Change,52-Week High,52-Week Low,50-Day Moving Average,200-Day Moving Average,Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends,Most Recent Quarter,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Last Split Factor,Last Split Date,Earnings Date
Crew Energy Inc.,CR.TO,3.91,3.96,4.10,4.02,"931,244","978,630","1,173,250",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.21,-27.22%,-0.94%,6.20,2.65,3.85,4.01,141070000.0,135520000.0,N/A,N/A,11600000.0,12.57,N/A,554410000.0,767330000.0,N/A,N/A,-0.23,3.44,0.68,4.57,3.48,Dec 31,"Sep 30, 2015",-45.00%,-70.93%,-5.98%,-9.08%,168020000.0,1.26,-60.30%,N/A,220580000.0,-75610000.0,-0.57,N/A,1320000.0,0.01,214290000.0,25.18,1.18,6.03,100040000.0,-119540000.0,N/A,N/A,May 5 - May 9 (Est.)
Superior Plus Corp.,SPB.TO,10.05,10.10,10.09,10.08,"192,428","441,629","355,325",0.72,7.14%,7.10%,8.02%,350.49%,"May 13, 2016","Mar 29, 2016",0.63,-30.39%,-0.94%,14.74,8.42,9.25,10.02,141090000.0,138580000.0,60.29%,41.00%,3190000.0,5.35,N/A,1420000000.0,2260000000.0,50.40,10.39,N/A,0.43,1.99,0.68,9.54,Dec 31,"Dec 31, 2015",0.80%,3.32%,3.23%,4.19%,3310000000.0,25.70,-14.90%,N/A,237300000.0,26500000.0,0.20,-27.00%,3500000.0,0.03,849200000.0,118.99,1.28,5.08,261399999.99999997,111110000.0,N/A,N/A,N/A
Continental Gold Inc.,CNL.TO,2.28,2.32,2.19,2.15,"319,600","463,770","532,900",N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.48,22.99%,-0.94%,3.28,1.28,1.75,1.64,129729999.99999999,126040000.0,1.48%,32.50%,793340.0,1.49,N/A,298380000.0,264339999.99999997,N/A,N/A,N/A,N/A,1.25,NaN,-35.30,Dec 31,"Sep 30, 2015",N/A,N/A,-5.52%,-17.76%,N/A,N/A,N/A,N/A,-7490000.0,-43770000.0,-0.34,N/A,33630000.0,0.26,0.0,N/A,9.36,1.75,-5680000.0,-37790000.0,N/A,N/A,N/A
Aimia Inc.,AIM.TO,7.94,7.96,7.91,7.89,"207,002","438,019","276,312",0.76,9.61%,9.60%,4.74%,N/A,"Mar 31, 2016","Mar 15, 2016",0.12,-41.07%,-0.94%,14.95,7.39,8.46,9.59,152240000.0,157930000.0,N/A,N/A,6040000.0,20.06,N/A,1210000000.0,1390000000.0,47.60,8.93,-4.84,0.50,2.18,0.56,7.40,Dec 31,"Sep 30, 2015",1.87%,1.80%,0.52%,7.40%,2490000000.0,14.91,-2.60%,N/A,188300000.0,27800000.0,0.17,N/A,512400000.0,3.24,647100000.0,111.19,0.52,3.62,234700000.0,38150000.0,N/A,N/A,May 12 - May 13 (Est.)
Crescent Point Energy Corp.,CPG.TO,18.93,18.95,19.70,19.32,"3,156,093","3,369,700","2,868,840",0.36,1.83%,8.40%,8.06%,N/A,"Apr 15, 2016","Mar 29, 2016",2.09,-41.67%,-0.94%,32.97,11.31,18.02,16.74,505820000.0,501630000.0,N/A,N/A,12190000.0,4.13,N/A,9580000000.0,13920000000.0,N/A,N/A,0.87,3.89,0.94,5.45,5.12,Dec 31,"Sep 30, 2015",-14.34%,-6.45%,-0.61%,-3.53%,2560000000.0,5.52,-31.50%,N/A,2720000000.0,-366520000.0,-0.79,N/A,42690000.0,0.09,4400000000.0,41.57,1.08,20.97,2089999999.9999998,-70790000.0,N/A,N/A,N/A
Avigilon Corporation,AVO.TO,16.25,16.39,16.28,16.17,"59,947","118,148","100,550",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.56,-25.63%,-0.94%,22.25,11.20,14.91,13.42,43270000.0,34590000.0,N/A,N/A,2320000.0,15.32,N/A,705730000.0,723670000.0,21.49,17.54,0.93,2.08,2.38,2.13,13.92,Dec 31,"Sep 30, 2015",10.44%,11.26%,6.20%,11.92%,339790000.0,7.37,33.90%,N/A,52010000.0,35460000.0,0.76,-21.00%,81060000.0,1.87,95680000.0,31.19,3.25,6.84,13650000.0,-54730000.0,N/A,N/A,May 2 - May 12 (Est.)
Great Canadian Gaming Corp.,GC.TO,17.48,17.64,17.46,17.49,"55,035","87,738","93,025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.66,-24.83%,-0.94%,24.80,14.66,18.03,17.04,64440000.0,50080000.0,N/A,N/A,1140000.0,10.60,N/A,1130000000.0,1320000000.0,15.85,12.22,1.90,2.58,2.97,2.94,7.48,Dec 31,"Sep 30, 2015",17.53%,30.55%,8.72%,20.56%,448400000.0,6.56,1.30%,N/A,176200000.0,78600000.0,1.11,9.50%,291300000.0,4.39,442800000.0,112.84,5.68,5.88,129900000.0,88380000.0,1:1,"Jun 10, 2005",N/A
"New Gold, Inc.",NGD.TO,5.32,5.35,5.21,5.23,"1,419,026","1,862,100","1,627,560",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.24,27.75%,-0.94%,5.71,2.52,4.95,3.77,509900000.0,494730000.0,N/A,N/A,27220000.0,8.01,N/A,2720000000.0,3170000000.0,N/A,133.50,13.67,3.72,1.26,4.45,12.41,Dec 31,"Dec 31, 2015",-28.25%,-0.83%,-0.10%,-9.22%,712900000.0,1.40,5.80%,N/A,255700000.0,-201400000.0,-0.40,N/A,335500000.0,0.66,787600000.0,37.51,4.17,4.12,262600000.00000003,-117280000.0,N/A,N/A,N/A
WSP Global Inc.,WSP.TO,39.27,39.50,39.13,38.95,"223,955","287,913","273,900",1.50,3.83%,3.80%,5.02%,73.35%,"Apr 15, 2016","Mar 29, 2016",0.86,-9.54%,-0.94%,49.18,35.11,38.32,41.83,99740000.0,98540000.0,N/A,N/A,1050000.0,2.31,N/A,3940000000.0,4420000000.0,20.19,14.14,0.58,0.70,1.37,0.79,11.72,Dec 31,"Sep 26, 2015",2.99%,4.71%,3.85%,8.19%,5560000000.0,65.53,138.30%,N/A,376900000.0,166200000.0,1.95,73.20%,218100000.0,2.20,720500000.0,25.67,1.46,28.61,179000000.0,-138250000.0,N/A,N/A,N/A
Sun Life Financial Inc.,SLF.TO,42.40,42.43,42.44,42.10,"738,402","1,230,120","1,146,280",1.56,3.68%,3.60%,4.66%,42.71%,"Mar 31, 2016","Feb 29, 2016",0.40,7.88%,-0.94%,45.65,36.64,41.41,42.08,612580000.0,611940000.0,N/A,N/A,25010000.0,19.11,N/A,25990000000.0,-37170000000.0,11.94,10.47,1.38,1.35,1.36,-1.93,-11.15,Dec 31,"Dec 31, 2015",11.86%,16.72%,0.86%,11.34%,19270000000.0,31.49,-24.50%,N/A,3330000000.0,2180000000.0,3.55,6.10%,73710000000.0,120.38,10560000000.0,49.32,11.77,31.29,4460000000.0,-1980000000.0,N/A,N/A,N/A
Brookfield Asset Management Inc.,BAM-A.TO,42.96,43.00,42.78,42.66,"434,207","1,020,530","915,449",0.68,1.58%,1.20%,1.50%,19.73%,"Mar 31, 2016","Feb 25, 2016",0.63,-8.85%,-0.94%,47.40,37.70,43.50,43.24,986820000.0,888890000.0,N/A,N/A,6260000.0,4.72,N/A,42410000000.0,98990000000.0,19.01,29.03,-1.05,1.99,2.01,4.55,13.74,Dec 31,"Dec 31, 2015",10.76%,25.37%,2.57%,8.35%,21750000000.0,21.56,10.90%,N/A,7210000000.0,2340000000.0,2.26,-35.40%,2770000000.0,2.74,58280000000.0,101.85,1.39,21.31,N/A,N/A,3:2,"May 13, 2015",N/A
Enbridge Income Fund Holdings Inc.,ENF.TO,28.85,28.87,28.95,28.84,"456,428","365,919","881,338",1.87,6.45%,5.80%,5.16%,304.44%,"Apr 15, 2016","Mar 29, 2016",0.80,-24.91%,-0.94%,40.68,24.32,29.47,29.33,97360000.0,77340000.0,N/A,N/A,1010000.0,4.50,N/A,2810000000.0,2810000000.0,15.74,14.14,0.99,19.70,1.05,19.63,N/A,Dec 31,"Dec 31, 2015",96.58%,100.00%,3.20%,5.15%,143010000.0,1.92,39.90%,N/A,N/A,138110000.0,1.83,43.70%,132000.0,0.00,0.0,N/A,4.20,27.65,132120000.0,70620000.0,N/A,N/A,May 2 - May 6 (Est.)
"Cascades, Inc.",CAS.TO,8.56,8.62,8.18,8.39,"580,470","303,244","458,925",0.16,1.96%,1.10%,2.74%,N/A,"Apr 1, 2016","Mar 22, 2016",-0.68,21.53%,-0.94%,13.65,6.49,8.66,10.29,95360000.0,63390000.0,N/A,N/A,8660000.0,28.67,N/A,818180000.0,2550000000.0,N/A,7.73,0.37,0.21,0.84,0.68,6.44,Dec 31,"Sep 30, 2015",-0.96%,5.82%,3.59%,-0.57%,3760000000.0,39.96,12.90%,N/A,396000000.0,-10000000.0,-0.39,N/A,34000000.0,0.36,1780000000.0,169.53,1.63,9.77,304000000.0,65250000.0,N/A,N/A,N/A
Advantage Oil & Gas Ltd.,AAV.TO,6.60,6.62,6.77,6.65,"805,863","1,059,000","2,294,490",N/A,N/A,N/A,N/A,N/A,N/A,"Feb 25, 2009",1.57,-11.63%,-0.94%,8.36,5.85,6.95,7.13,184400000.0,168390000.0,N/A,N/A,3810000.0,3.83,N/A,1220000000.0,1410000000.0,17.96,20.66,0.75,8.32,1.04,10.18,7.95,Dec 31,"Sep 30, 2015",45.09%,68.34%,4.16%,5.84%,138960000.0,0.82,-25.90%,N/A,177890000.0,62650000.0,0.37,-51.00%,N/A,N/A,285710000.0,25.79,1.53,6.49,131810000.0,-182770000.0,N/A,N/A,May 5 - May 9 (Est.)
Lightstream Resources Ltd.,LTS.TO,0.32,0.33,0.33,0.32,"679,194","734,102","883,625",N/A,N/A,N/A,N/A,N/A,"Jan 15, 2015","Dec 29, 2014",4.33,-75.19%,-0.94%,1.62,0.19,0.37,0.34,198460000.0,187850000.0,44.02%,10.70%,2160000.0,2.34,N/A,64500000.0,1630000000.0,N/A,N/A,N/A,0.13,0.08,3.36,4.29,Dec 31,"Sep 30, 2015",-234.58%,-254.79%,-20.80%,-82.55%,484450000.0,2.45,-57.50%,N/A,379220000.0,-1140000000.0,-5.75,N/A,N/A,N/A,1560000000.0,195.56,0.82,4.03,268140000.0,475320000.0,N/A,N/A,May 4 - May 5 (Est.)
BROOKFIELD RENEWABLE ENERGY PAR,BEP-UN.TO,37.42,37.50,37.61,37.62,"78,782",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Peyto Exploration & Development Corp,PEY.TO,30.38,30.59,30.90,30.40,"271,954","619,287","535,912",1.32,4.27%,4.30%,3.55%,151.13%,"Apr 15, 2016","Mar 29, 2016",1.06,-16.04%,-0.94%,37.06,21.55,28.60,27.85,159240000.0,152490000.0,N/A,N/A,828120.0,2.10,N/A,4860000000.0,5810000000.0,29.32,27.50,1.63,7.81,3.03,9.24,9.46,Dec 31,"Sep 30, 2015",25.87%,46.21%,5.89%,10.66%,629100000.0,4.02,-32.60%,N/A,614100000.0,162750000.0,1.04,-45.80%,N/A,N/A,960000000.0,59.26,0.84,10.19,592870000.0,-195560000.0,2:1,"May 27, 2005",N/A
Sandstorm Gold Ltd.,SSL.TO,4.96,5.05,4.90,4.91,"183,313","332,003","476,525",N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.84,15.44%,-0.94%,5.19,2.82,4.32,3.77,137930000.0,126330000.0,N/A,N/A,2089999.9999999998,6.73,N/A,691030000.0,596320000.0,N/A,250.50,-2.21,11.37,1.45,10.79,19.35,Dec 31,"Sep 30, 2015",-28.02%,-12.12%,-0.98%,-3.72%,55290000.0,0.47,-22.30%,N/A,30820000.0,-15490000.0,-0.13,N/A,46510000.0,0.36,0.0,N/A,13.02,3.38,34680000.0,-34480000.0,1:5,"May 9, 2012",May 3 - May 9 (Est.)
Painted Pony Petroleum Ltd.,PPY.TO,4.44,4.47,4.64,4.50,"566,522","844,429","954,338",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.39,-37.32%,-0.94%,8.83,2.72,4.43,4.29,100030000.0,92400000.0,N/A,N/A,3380000.0,3.19,N/A,445140000.0,491070000.0,N/A,N/A,N/A,4.94,0.69,5.22,12.24,Dec 31,"Sep 30, 2015",-11.82%,-12.66%,-1.04%,-1.74%,94040000.0,0.95,-47.70%,N/A,40130000.0,-11110000.0,-0.11,N/A,N/A,N/A,45930000.0,6.87,0.41,6.68,46680000.0,-202570000.0,N/A,N/A,May 11 - May 16 (Est.)
Penn West Petroleum Ltd.,PWT.TO,1.26,1.29,1.25,1.23,"1,018,901","1,776,550","1,290,510",0.04,3.20%,1.60%,10.12%,N/A,"Oct 15, 2015","Sep 28, 2015",5.15,-57.48%,-0.94%,3.10,0.60,1.29,1.27,502160000.0,499310000.0,N/A,N/A,21950000.0,9.62,N/A,642770000.0,2890000000.0,N/A,N/A,-0.05,0.51,0.14,2.34,5.50,Dec 31,"Sep 30, 2015",-227.69%,-51.09%,-3.88%,-47.08%,1240000000.0,2.47,-50.60%,N/A,526000000.0,-2810000000.0,-5.62,N/A,N/A,N/A,2250000000.0,49.54,0.72,9.04,268000000.0,-507000000.0,3:1,"Jun 2, 2005",Apr 28 - May 2 (Est.)
Emera Incorporated,EMA.TO,47.53,47.54,47.17,47.06,"303,803","825,648","390,075",1.90,4.03%,3.70%,4.01%,61.28%,"May 16, 2016","Jan 29, 2016",0.07,14.75%,-0.94%,48.54,39.12,46.97,44.47,148170000.0,146490000.0,N/A,N/A,12760000.0,21.77,N/A,7040000000.0,10690000000.0,17.54,17.22,2.55,2.49,1.99,3.83,12.44,Dec 31,"Dec 31, 2015",15.33%,18.20%,2.90%,11.25%,2790000000.0,19.13,-8.10%,N/A,859900000.0,397200000.0,2.71,27.10%,1070000000.0000001,7.29,4770000000.0,110.07,1.25,23.71,674200000.0,83250000.0,N/A,N/A,May 9 - May 13 (Est.)
Open Text Corporation,OTC.TO,69.20,69.39,69.86,69.96,"149,600","285,167","197,200",1.04,1.49%,1.50%,N/A,42.21%,"Mar 31, 2016","Mar 8, 2016",0.21,-0.14%,-0.94%,71.11,47.68,66.92,64.75,120450000.0,118100000.0,N/A,N/A,120230.0,0.55,0.09%,8350000000.0,9200000000.0,37.72,18.30,3.52,4.60,4.54,5.03,17.43,Jun 30,"Dec 31, 2015",12.26%,19.81%,5.51%,12.42%,1830000000.0,15.01,-0.50%,N/A,527500000.0,224390000.0,1.84,18.00%,742230000.0,6.16,1580000000.0,85.44,2.01,15.39,491590000.0,442750000.0,2:1,"Feb 19, 2014",N/A
SMART REAL ESTATE INVESTMENT TR,SRU-UN.TO,33.79,33.95,33.61,33.50,"117,863",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inter Pipeline Ltd.,IPL.TO,26.38,26.40,26.77,26.40,"598,998","900,762","607,212",1.56,5.83%,5.60%,4.88%,116.33%,"Apr 15, 2016","Mar 18, 2016",1.01,-16.47%,-0.94%,31.99,18.43,25.72,23.66,336620000.0,334310000.0,N/A,N/A,7580000.0,10.14,N/A,8880000000.0,13670000000.0,20.66,17.82,1.85,5.38,3.19,8.16,13.86,Dec 31,"Dec 31, 2015",25.50%,47.60%,5.64%,15.35%,1680000000.0,5.01,16.80%,N/A,986300000.0,427400000.0,1.28,71.50%,40300000.0,0.12,4830000000.0,153.10,0.15,8.39,760500000.0,-69990000.0,N/A,N/A,N/A
Trican Well Service Ltd.,TCW.TO,1.49,1.54,1.51,1.49,"1,381,251","1,192,240","682,912",N/A,N/A,N/A,N/A,N/A,"Jan 14, 2015","Dec 29, 2014",2.57,-71.10%,-0.94%,5.39,0.34,1.37,1.05,148920000.0,125110000.0,N/A,N/A,709860.0,0.73,N/A,226360000.0,716290000.0,N/A,N/A,-0.04,0.19,0.41,0.60,-7.95,Dec 31,"Dec 31, 2015",-69.22%,-23.48%,-9.06%,-89.48%,1190000000.0,7.98,-65.50%,N/A,-90070000.0,-820340000.0,-5.52,N/A,49120000.0,0.33,539050000.0,97.65,1.88,3.72,119830000.0,304930000.0,2:1,"May 23, 2006",N/A
Artis Real Estate Investment Trust,AX-UN.TO,13.08,13.14,13.08,13.05,"141,545","214,730","325,786",1.08,8.26%,8.30%,7.15%,N/A,"Apr 15, 2016","Mar 29, 2016",0.62,-12.77%,-0.94%,16.10,13.02,13.82,14.67,139320000.0,137290000.0,N/A,N/A,1730000.0,5.98,N/A,1820000000.0,4580000000.0,N/A,N/A,N/A,3.38,0.71,8.55,14.24,Dec 31,"Dec 31, 2015",-32.81%,59.91%,3.65%,-6.63%,535570000.00000006,3.89,2.40%,N/A,321640000.0,-175700000.0,-1.28,N/A,66450000.0,0.48,2830000000.0,110.29,0.26,18.53,220600000.0,45390000.0,0:1,"Feb 1, 2006",N/A
Celestica Inc.,CLS.TO,13.54,13.61,13.82,13.58,"174,848","275,557","234,025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.28,-3.48%,-0.94%,17.65,11.33,14.11,14.58,121710000.0,119850000.0,N/A,N/A,9090000.0,48.78,9.09%,1910000000.0,1650000000.0,32.33,11.32,N/A,0.34,1.78,0.29,7.48,Dec 31,"Dec 31, 2015",1.19%,2.69%,3.65%,5.38%,5640000000.0,36.20,6.40%,N/A,219800000.0,66900000.00000001,0.42,N/A,545300000.0,3.88,279700000.0,25.64,1.87,7.75,196300000.0,146250000.0,2:1,"Dec 15, 1999",N/A
Western Energy Services Corp.,WRG.TO,2.65,2.70,2.70,2.71,"11,733","82,716","196,012",0.20,7.41%,7.40%,N/A,N/A,"Jan 14, 2016","Dec 29, 2015",0.68,-62.52%,-0.94%,7.89,2.05,2.97,3.56,73650000.0,62490000.0,N/A,N/A,473440.0,4.99,N/A,197370000.0,405900000.0,N/A,N/A,2.03,0.61,0.38,1.25,4.11,Dec 31,"Sep 30, 2015",-25.47%,15.79%,3.22%,-14.52%,324060000.0,4.35,-62.50%,N/A,98760000.0,-82550000.0,-1.11,N/A,56550000.0,0.77,265050000.0,50.41,3.36,7.11,127650000.0,26550000.0,1:20,"Jun 22, 2011",N/A
Guyana Goldfields Inc.,GUY.TO,6.13,6.18,6.03,6.05,"709,315","478,517","725,888",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.58,106.71%,-0.94%,6.18,2.48,4.86,3.79,153620000.0,120060000.0,N/A,N/A,1100000.0,0.92,N/A,946310000.0,1070000000.0000001,N/A,12.83,2.65,N/A,5.81,NaN,-119.85,Dec 31,"Sep 30, 2015",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8910000.0,-10980000.0,-0.08,N/A,18540000.0,0.12,148040000.0,93.72,0.77,1.04,-10380000.0,N/A,3:1,"Aug 19, 1997",N/A
Argonaut Gold Inc.,AR.TO,2.28,2.31,2.16,2.17,"789,864","1,215,070","1,001,950",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.64,13.37%,-0.94%,2.39,0.78,1.89,1.42,156750000.0,150410000.0,N/A,N/A,6820000.0,4.95,N/A,358960000.0,317050000.0,N/A,57.25,N/A,1.91,0.46,1.81,12.16,Dec 31,"Sep 30, 2015",-15.60%,-11.86%,-1.50%,-3.55%,175550000.0,1.13,-13.90%,N/A,26080000.0,-27380000.0,-0.18,N/A,43770000.0,0.28,5070000.0,0.70,6.05,4.70,66360000.0,23550000.0,N/A,N/A,May 3 - May 9 (Est.)
Athabasca Oil Corporation,ATH.TO,1.05,1.06,1.09,1.05,"367,595","2,213,450","1,742,450",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.36,-53.71%,-0.94%,2.42,0.91,1.09,1.37,404580000.0,387480000.0,N/A,N/A,38440000.0,12.58,N/A,428850000.0,587470000.0,N/A,N/A,0.57,5.98,0.14,7.98,-17.87,Dec 31,"Sep 30, 2015",N/A,-352.27%,-3.78%,-6.96%,73610000.0,0.18,-32.50%,N/A,-32869999.999999996,-221900000.0,-0.56,N/A,671450000.0,1.66,830750000.0,26.92,11.45,7.64,-20810000.0,-83940000.0,N/A,N/A,N/A
Premium Brands Holdings Corporation,PBH.TO,57.60,57.80,57.99,57.80,"77,680","194,203","184,100",1.52,2.62%,2.40%,5.71%,202.94%,"Apr 15, 2016","Mar 29, 2016",0.52,92.63%,-0.94%,58.59,26.50,52.20,41.73,28200000.0,20410000.0,N/A,N/A,1740000.0,5.02,N/A,1630000000.0,1820000000.0,324.66,19.01,1.02,1.03,5.63,1.29,18.32,Dec 27,"Sep 26, 2015",0.30%,4.98%,5.61%,1.78%,1420000000.0,60.10,19.70%,N/A,99610000.0,4200000.0,0.18,113.70%,9710000.0,0.39,376410000.0,144.50,1.94,10.30,69560000.0,17770000.0,N/A,N/A,May 5 - May 9 (Est.)
Canexus Corporation,CUS.TO,1.36,1.39,1.37,1.36,"823,384","502,152","566,275",0.04,2.92%,2.90%,9.19%,N/A,"Apr 15, 2016","Mar 29, 2016",1.72,-28.65%,-0.94%,2.05,1.03,1.27,1.25,186890000.0,186200000.0,N/A,N/A,136060.0,0.58,N/A,256040000.00000003,845550000.0,N/A,10.54,0.25,0.43,23.62,1.44,8.76,Dec 31,"Sep 30, 2015",-68.35%,5.46%,1.98%,-93.28%,589170000.0,3.17,1.60%,N/A,96510000.0,-195340000.0,-2.19,N/A,5210000.0,0.03,594720000.0,"5,478.80",0.86,0.06,34850000.0,-44270000.0,N/A,N/A,May 4 - May 9 (Est.)
Canadian National Railway Company,CNR.TO,81.15,81.22,82.37,82.21,"928,654","1,344,790","1,114,520",1.50,1.82%,1.60%,1.50%,27.96%,"Mar 31, 2016","Mar 8, 2016",0.85,-2.60%,-0.94%,83.54,66.62,80.15,77.57,786400000.0,683140000.0,50.77%,58.50%,14390000.0,10.78,N/A,63840000000.0,73970000000.0,18.49,15.92,2.17,5.12,4.34,5.87,11.51,Dec 31,"Dec 31, 2015",28.06%,41.76%,9.67%,24.90%,12610000000.0,15.75,-1.30%,N/A,6420000000.0,3540000000.0,4.39,11.50%,153000000.0,0.20,10430000000.0,69.75,0.72,18.99,5140000000.0,1410000000.0,2:1,"Dec 2, 2013",N/A
Dominion Diamond Corporation,DDC.TO,13.85,13.97,13.76,13.72,"230,932","246,035","261,238",0.49,3.55%,5.40%,N/A,N/A,"Jun 2, 2016","Apr 28, 2015",0.45,-40.12%,-0.94%,24.60,9.96,15.17,13.94,85290000.0,77090000.0,N/A,N/A,295900.0,0.67,N/A,1190000000.0,902660000.0,N/A,N/A,N/A,1.50,0.90,1.15,3.69,Jan 31,"Oct 31, 2015",-0.80%,7.22%,1.50%,-0.30%,783010000.0,9.19,-34.80%,N/A,244700000.0,-6300000.0,-0.07,-83.70%,328400000.0,3.85,44660000.0,3.13,4.58,15.35,218830000.0,46220000.0,N/A,N/A,Jun 8 - Jun 13 (Est.)
"Shaw Communications, Inc.",SJR-B.TO,23.11,23.15,23.54,23.54,"901,944","1,013,220","951,681",1.19,5.03%,4.60%,4.21%,63.53%,"Apr 28, 2016","Apr 13, 2016",0.56,-15.34%,-0.94%,28.17,22.55,24.42,25.14,458720000.0,414900000.0,N/A,N/A,17600000.0,16.98,N/A,11120000000.0,16399999999.999998,13.14,15.73,-9.51,2.03,2.13,2.97,7.21,Aug 31,"Nov 30, 2015",15.33%,27.08%,6.49%,15.97%,5520000000.0,11.68,2.20%,N/A,2280000000.0,833000000.0,1.76,-4.60%,283000000.0,0.60,5680000000.0,98.15,0.52,11.03,1630000000.0,765880000.0,2:1,"Jul 26, 2007",N/A
The Descartes Systems Group Inc,DSG.TO,25.59,25.66,24.79,24.78,"87,568","229,843","101,950",0.65,0.60%,N/A,N/A,N/A,N/A,N/A,-0.17,29.79%,-0.94%,28.81,17.69,23.87,24.58,75760000.0,75420000.0,N/A,N/A,5660000.0,20.42,N/A,1940000000.0,1880000000.0,102.89,62.49,2.29,10.36,4.64,10.40,33.25,Jan 31,"Oct 31, 2015",10.37%,15.61%,3.92%,4.68%,181240000.0,2.40,10.00%,N/A,56670000.0,18800000.0,0.25,25.80%,56510000.0,0.75,0.0,N/A,2.71,5.35,51090000.0,44970000.0,N/A,N/A,May 26 - May 30 (Est.)
Genworth MI Canada Inc.,MIC.TO,32.14,32.20,32.27,32.18,"60,119","206,052","142,275",1.68,5.21%,6.30%,4.73%,37.03%,"Mar 2, 2016","Feb 11, 2016",1.79,-1.86%,-0.94%,36.30,22.14,29.96,28.09,91800000.0,54320000.0,10.15%,67.30%,2510000.0,9.20,N/A,2960000000.0,2990000000.0,7.64,8.41,17.50,3.76,0.87,3.80,5.36,Dec 31,"Dec 31, 2015",50.61%,70.74%,5.80%,11.91%,787090000.0,8.53,5.10%,N/A,557240000.0,398300000.0,4.22,13.20%,436500000.0,4.76,469960000.0,13.74,0.27,37.26,666690000.0,563820000.0,N/A,N/A,N/A
Suncor Energy Inc.,SU.TO,35.89,35.93,36.91,36.22,"2,482,287","3,972,110","2,619,500",1.16,3.14%,3.10%,2.03%,N/A,"Mar 25, 2016","Mar 2, 2016",1.11,-10.80%,-0.94%,40.93,27.32,35.27,35.04,1560000000.0,1550000000.0,N/A,N/A,14760000.0,3.38,N/A,56050000000.0,67110000000.0,N/A,30.44,-14.05,1.96,1.37,2.30,8.60,Dec 31,"Dec 31, 2015",-6.83%,0.82%,0.19%,-4.95%,29210000000.0,20.20,-27.00%,N/A,7810000000.0,-2000000000.0,-1.38,N/A,4050000000.0,2.60,15300000000.0,39.20,1.46,27.00,6880000000.0,1930000000.0,2:1,"May 12, 2008",N/A
Onex Corporation,OCX.TO,76.69,76.80,76.51,76.33,"79,625","173,951","118,500",0.25,0.33%,0.30%,0.27%,N/A,"Apr 29, 2016","Apr 6, 2016",-0.02,6.07%,-0.94%,87.86,67.32,78.01,80.30,104040000.0,80670000.0,N/A,N/A,893840.0,3.53,N/A,7990000000.0,23710000000.0,N/A,319.58,N/A,0.41,N/A,1.21,12.67,Dec 31,"Dec 31, 2015",-2.91%,4.09%,1.55%,-47.94%,19680000000.0,184.10,-14.40%,N/A,1870000000.0,-952000000.0,-5.36,N/A,2520000000.0,23.63,18050000000.0,"1,517.14",1.44,-1.53,1880000000.0,1200000000.0,2:1,"May 30, 2000",May 13 - May 17 (Est.)
